28064,1860,0,2160,4140,2520,1440,0,0,37560,2520,6120,0,0
29321,2040,0,3720,3720,1260,2400,9300,0,26400,1680,6540,0,0
29257,3720,0,3840,1860,1260,3300,6840,1860,24840,2820,6780,0,0
27820,1860,0,1860,1860,0,2700,3060,1860,10920,0,0,34440,0
26259,1860,0,1860,1860,2520,1620,0,1860,16740,1260,0,30540,0
29506,1980,0,1860,4080,1260,1080,0,1860,36420,2160,6180,0,0
28119,1860,0,3900,2040,0,4560,9180,1860,25140,3300,6420,0,0
29259,1860,0,3840,1860,2520,4020,9180,1860,23400,2220,6360,0,0
26679,1860,0,3780,3900,0,6060,6120,1860,26940,1920,7260,0,0
29322,1860,0,3900,3960,2520,1140,9300,1860,28740,0,3780,0,0
26139,1860,0,1860,3720,1260,2160,3060,1860,10920,1260,0,32280,0
26262,1980,0,1860,1860,1260,1080,3060,0,17700,1260,0,30060,0
29444,3720,0,1860,2640,1260,1620,3060,1860,34980,1320,4620,0,0
28182,1860,0,2100,4320,1260,2580,6120,1860,30540,1560,6000,0,0
28482,1860,0,1860,3900,1260,2040,6240,1860,29220,3300,6360,0,0
27759,1860,0,4440,1920,1260,3900,12240,0,23280,3060,6660,0,0
27999,1860,0,3780,3780,1260,3000,9180,1860,25920,2520,5220,0,0
29380,1860,0,1860,1860,0,2160,3060,1860,10920,1260,0,32160,0
27341,1860,0,1860,1860,2520,2160,0,1860,17400,0,0,29520,0
28127,2280,0,1860,2400,1260,540,3060,0,40800,1260,4800,0,0
29200,2040,0,4140,2100,1260,3840,12240,0,25200,2640,3720,0,0
27035,1860,0,1860,1860,0,7440,12840,0,23580,2520,5820,0,1560
28598,1860,0,2160,3900,2520,4860,9600,1860,21540,2940,6540,0,0
27698,1860,0,2160,3900,1260,2820,6120,1860,31200,2580,4920,0,0
28599,1860,0,1860,1860,0,2160,3060,1860,10920,1260,0,32940,0
29262,1860,0,1860,1860,2520,1620,0,1860,17160,0,0,28380,0
27281,1860,0,1860,3840,1260,1140,6120,1860,32040,5520,3600,0,0
28178,1860,0,6240,2040,1260,3480,9180,1860,24900,2040,5340,0,0
27158,1860,0,3720,3900,1260,2520,6120,1860,29340,3900,4740,0,0
29324,1920,0,4020,2580,1260,1080,9240,0,30840,2100,4020,0,0
